x, y
0,0
0.020740729,15.36272999
0.037037014,30.72545997
0.051851841,51.20913902
0.065925903,69.13228493
0.076296285,85.77528149
0.088888889,110.099643
0.099259237,125.462373
0.108888889,143.3855189
0.117777778,161.3086648
0.126666667,179.231928
0.136296319,198.4353404
0.145185208,216.3584864
0.154814792,236.8421654
0.163703681,256.0455779
0.17259257,273.9687238
0.182962986,294.4524029
0.191851874,311.0953408
0.203703681,335.4196437
0.213333333,354.6230562
0.224444444,375.1067353
0.235555556,396.8705637
0.245185208,417.3542427
0.254814792,437.8378632
0.263703681,454.4808011
0.274074097,476.2446881
0.282962986,495.4481006
0.29259257,515.9317211
0.300740763,533.8549256
0.310370348,554.338546
0.32,576.102433
0.329629652,597.8663201
0.336296319,614.509258
0.34,623.470831
